ZIP,CITY,SUBDIVISION
01150,"Amurrio",ES-VI
01450,"Amurrio",ES-VI
01468,"Amurrio",ES-VI
01160,"Aramaio",ES-VI
01165,"Aramaio",ES-VI
01169,"Aramaio",ES-VI
01474,"Artziniega",ES-VI
01478,"Artziniega",ES-VI
01211,"Armiñón",ES-VI
01220,"Armiñón",ES-VI
01510,"Arrazua-ubarrundia",ES-VI
01520,"Arrazua-ubarrundia",ES-VI
01250,"Asparrena",ES-VI
01260,"Asparrena",ES-VI
01408,"Ayala/aiara",ES-VI
01470,"Ayala/aiara",ES-VI
01476,"Ayala/aiara",ES-VI
01477,"Ayala/aiara",ES-VI
01479,"Ayala/aiara",ES-VI
01307,"Baños de Ebro/mañueta",ES-VI
01206,"Barrundia",ES-VI
01212,"Berantevilla",ES-VI
01118,"Bernedo",ES-VI
01119,"Bernedo",ES-VI
01128,"Bernedo",ES-VI
01194,"Bernedo",ES-VI
01216,"Bernedo",ES-VI
01427,"Bernedo",ES-VI
01110,"Campezo/kanpezu",ES-VI
01111,"Campezo/kanpezu",ES-VI
01117,"Campezo/kanpezu",ES-VI
01138,"Zigoitia",ES-VI
01196,"Zigoitia",ES-VI
01308,"Kripan",ES-VI
01430,"Kuartango",ES-VI
01439,"Kuartango",ES-VI
01192,"Elburgo/burgelu",ES-VI
01193,"Elburgo/burgelu",ES-VI
01340,"Elciego",ES-VI
01309,"Elvillar/bilar",ES-VI
01207,"Iruraiz-gauna",ES-VI
01330,"Labastida",ES-VI
01300,"Laguardia",ES-VI
01321,"Laguardia",ES-VI
01306,"Lapuebla de Labarca",ES-VI
01400,"Llodio",ES-VI
01120,"Arraia-maeztu",ES-VI
01129,"Arraia-maeztu",ES-VI
01322,"Moreda de Álava",ES-VI
01409,"Okondo",ES-VI
01313,"Oyón-oion",ES-VI
01320,"Oyón-oion",ES-VI
01213,"Ribera Alta",ES-VI
01420,"Ribera Alta",ES-VI
01423,"Ribera Alta",ES-VI
01426,"Ribera Alta",ES-VI
01428,"Ribera Alta",ES-VI
01200,"Salvatierra O Agurain",ES-VI
01208,"San Millán/donemiliaga",ES-VI
01140,"Urkabustaiz",ES-VI
01440,"Urkabustaiz",ES-VI
01449,"Urkabustaiz",ES-VI
01170,"Legutiano",ES-VI
01171,"Legutiano",ES-VI
01199,"Vitoria-gasteiz",ES-VI
01001,"Vitoria-gasteiz",ES-VI
01002,"Vitoria-gasteiz",ES-VI
01003,"Vitoria-gasteiz",ES-VI
01004,"Vitoria-gasteiz",ES-VI
01005,"Vitoria-gasteiz",ES-VI
01006,"Vitoria-gasteiz",ES-VI
01007,"Vitoria-gasteiz",ES-VI
01008,"Vitoria-gasteiz",ES-VI
01009,"Vitoria-gasteiz",ES-VI
01010,"Vitoria-gasteiz",ES-VI
01011,"Vitoria-gasteiz",ES-VI
01012,"Vitoria-gasteiz",ES-VI
01013,"Vitoria-gasteiz",ES-VI
01015,"Vitoria-gasteiz",ES-VI
01071,"Vitoria-gasteiz",ES-VI
01080,"Vitoria-gasteiz",ES-VI
01190,"Vitoria-gasteiz",ES-VI
01191,"Vitoria-gasteiz",ES-VI
01195,"Vitoria-gasteiz",ES-VI
01999,"Vitoria-gasteiz",ES-VI
01130,"Zuia",ES-VI
01139,"Zuia",ES-VI
01230,"Iruña Oka/iruña de Oca",ES-VI
01210,"Lantarón",ES-VI
01214,"Lantarón",ES-VI
02250,"Abengibre",ES-AB
02152,"Alatoz",ES-AB
02001,"Albacete",ES-AB
02002,"Albacete",ES-AB
02003,"Albacete",ES-AB
02004,"Albacete",ES-AB
02005,"Albacete",ES-AB
02006,"Albacete",ES-AB
02007,"Albacete",ES-AB
02049,"Albacete",ES-AB
02070,"Albacete",ES-AB
02071,"Albacete",ES-AB
02080,"Albacete",ES-AB
02099,"Albacete",ES-AB
02140,"Albacete",ES-AB
02155,"Albacete",ES-AB
02328,"Albacete",ES-AB
02511,"Albacete",ES-AB
02653,"Albatana",ES-AB
02215,"Alborea",ES-AB
02124,"Alcadozo",ES-AB
02128,"Alcadozo",ES-AB
02210,"Alcalá del Júcar",ES-AB
02211,"Alcalá del Júcar",ES-AB
02214,"Alcalá del Júcar",ES-AB
02252,"Alcalá del Júcar",ES-AB
02300,"Alcaraz",ES-AB
02312,"Alcaraz",ES-AB
02314,"Alcaraz",ES-AB
02330,"Alcaraz",ES-AB
02640,"Almansa",ES-AB
02690,"Alpera",ES-AB
02125,"Ayna",ES-AB
02126,"Ayna",ES-AB
02139,"Ayna",ES-AB
02999,"Ayna",ES-AB
02320,"Balazote",ES-AB
02213,"Balsa de Ves",ES-AB
02614,"Ballestero, el",ES-AB
02639,"Barrax",ES-AB
02360,"Bienservida",ES-AB
02130,"Bogarra",ES-AB
02138,"Bogarra",ES-AB
02448,"Bogarra",ES-AB
02691,"Bonete",ES-AB
02160,"Bonillo, el",ES-AB
02610,"Bonillo, el",ES-AB
02613,"Bonillo, el",ES-AB
02153,"Carcelén",ES-AB
02151,"Casas de Juan Núñez",ES-AB
02329,"Casas de Lázaro",ES-AB
02212,"Casas de Ves",ES-AB
02200,"Casas-ibáñez",ES-AB
02660,"Caudete",ES-AB
02247,"Cenizate",ES-AB
02693,"Corral-rubio",ES-AB
02461,"Cotillas",ES-AB
02156,"Chinchilla de Monte-aragón",ES-AB
02510,"Chinchilla de Monte-aragón",ES-AB
02520,"Chinchilla de Monte-aragón",ES-AB
02529,"Chinchilla de Monte-aragón",ES-AB
02692,"Chinchilla de Monte-aragón",ES-AB
02695,"Chinchilla de Monte-aragón",ES-AB
02430,"Elche de la Sierra",ES-AB
02439,"Elche de la Sierra",ES-AB
02449,"Elche de la Sierra",ES-AB
02470,"Elche de la Sierra",ES-AB
03439,"Elche de la Sierra",ES-A
02436,"Férez",ES-AB
02637,"Fuensanta",ES-AB
02621,"Fuente-álamo",ES-AB
02651,"Fuente-álamo",ES-AB
02249,"Fuentealbilla",ES-AB
02251,"Fuentealbilla",ES-AB
02260,"Fuentealbilla",ES-AB
02110,"Gineta, la",ES-AB
02253,"Golosalvo",ES-AB
02400,"Hellín",ES-AB
02409,"Hellín",ES-AB
02420,"Hellín",ES-AB
02440,"Hellín",ES-AB
02490,"Hellín",ES-AB
02498,"Hellín",ES-AB
02499,"Hellín",ES-AB
02162,"Herrera, la",ES-AB
02694,"Higueruela",ES-AB
02696,"Hoya-gonzalo",ES-AB
02248,"Jorquera",ES-AB
02434,"Letur",ES-AB
02161,"Lezuza",ES-AB
02142,"Liétor",ES-AB
02410,"Liétor",ES-AB
02230,"Madrigueras",ES-AB
02240,"Mahora",ES-AB
02620,"Minaya",ES-AB
02512,"Molinicos",ES-AB
02638,"Montalvos",ES-AB
02650,"Montealegre del Castillo",ES-AB
02220,"Motilleja",ES-AB
02612,"Munera",ES-AB
02246,"Navas de Jorquera",ES-AB
02530,"Nerpio",ES-AB
02534,"Nerpio",ES-AB
02535,"Nerpio",ES-AB
02536,"Nerpio",ES-AB
02537,"Nerpio",ES-AB
02538,"Nerpio",ES-AB
02539,"Nerpio",ES-AB
02652,"Ontur",ES-AB
02611,"Ossa de Montiel",ES-AB
02136,"Paterna del Madera",ES-AB
02137,"Paterna del Madera",ES-AB
02459,"Paterna del Madera",ES-AB
02313,"Peñascosa",ES-AB
